comuna_id,region_id,nombre,latitud,longitud
"77","6","Quilpué","-33.0491","-71.438"
"78","6","Quintero","-32.7888","-71.5244"
"79","6","Valparaíso","-33.0547","-71.6157"
"80","6","Villa Alemana","-33.0478","-71.3687"
"82","7","Colina","-33.2102","-70.6692"
"83","7","Lampa","-33.2883","-70.872"
"84","7","Tiltil","-33.0806","-70.9243"
"85","7","Pirque","-33.6692","-70.5684"
"86","7","Puente Alto","-33.5869","-70.5671"
"87","7","San José de Maipo","-33.6404","-70.3314"
"88","7","Buin","-33.7303","-70.7464"
"89","7","Calera de Tango","-33.6221","-70.783"
"90","7","Paine","-33.8234","-70.7343"
"91","7","San Bernardo","-33.5695","-70.7376"
"92","7","Alhué","-34.0383","-71.1112"
"93","7","Curacaví","-33.4067","-71.1284"
"94","7","María Pinto","-33.5327","-71.1342"
"95","7","Melipilla","-33.6886","-71.2139"
"96","7","San Pedro","-33.9497","-71.433"
"97","7","Cerrillos","-33.4978","-70.7164"
"98","7","Cerro Navia","-33.4232","-70.7403"
"99","7","Conchalí","-33.3837","-70.6749"
"100","7","El Bosque","-33.5657","-70.6728"
"101","7","Estación Central","-33.466","-70.7034"
"102","7","Huechuraba","-33.3655","-70.6505"
"103","7","Independencia","-33.4137","-70.6658"
"104","7","La Cisterna","-33.5257","-70.6606"
"105","7","La Granja","-33.5361","-70.6239"
"106","7","La Florida","-33.5363","-70.5822"
"107","7","La Pintana","-33.5659","-70.6321"
"108","7","La Reina","-33.449","-70.5503"
"109","7","Las Condes","-33.4119","-70.5685"
"110","7","Lo Barnechea","-33.3534","-70.5086"
"111","7","Lo Espejo","-33.5171","-70.6901"
"112","7","Lo Prado","-33.4257","-70.7501"
"113","7","Macul","-33.4895","-70.5968"
"114","7","Maipú","-33.5114","-70.7696"
"115","7","Ñuñoa","-33.4506","-70.5907"
"116","7","P.AGUIRRE CERDA","-33.4931","-70.6761"
"117","7","Peñalolén","-33.4841","-70.5573"
